sbd_id,end_date,model_name,stop_reason,cost_usd,cost_usd_specialist,cost_usd_orchestration,cost_usd_critic,cost_usd_robustness,ledger_rows,real_requests,dup_pct,variants_tested,explore_rounds,explore_keeps,specialist_runs,specialist_runs_empty,specialist_proposals,cost_usd_enablement
101726,2026-08-17,GLM-5.2-MXFP4,,125.09,88.57,35.52,1.01,0.0,2223,1031,53.6,15,4,2,33,1,138,15.35
101728,2026-08-17,Qwen3.5-397B-A17B-MXFP4,global_converged,146.46,34.25,15.65,3.17,0.0,924,467,49.5,9,3,2,12,0,32,0.0
101730,2026-08-18,MiniMax-M3-MXFP4,baseline_failed,5.0,0.0,4.65,0.3,0.06,54,54,0.0,0,0,0,0,0,0,0.0
101733,2026-08-18,MiniMax-M3-MXFP4,enablement_stalled,29.15,23.22,5.58,0.31,0.04,59,58,1.7,0,0,0,4,4,0,23.22
101747,2026-08-18,Llama-3.1-8B-Instruct,conc_sweep_done,115.12,32.54,22.64,1.88,0.03,1236,604,51.1,12,6,2,25,6,63,0.0
101750,2026-08-18,Qwen3-14B-FP8,conc_sweep_done,65.67,11.71,19.83,0.79,0.12,607,301,50.4,5,1,1,8,2,17,0.0
101756,2026-08-18,DeepSeek-V4-Flash-0731,time_exhausted,102.36,34.57,63.9,3.4,0.49,1823,999,45.2,0,0,0,6,0,12,34.57
101758,2026-08-18,Qwen3.8-2.4T-A95B-Quark-MXFP4,conc_sweep_done,44.59,30.74,13.49,0.35,0.0,1180,619,47.5,8,2,2,17,0,67,0.0
101761,2026-08-18,MiniMax-M3-MXFP4,global_converged,64.14,26.42,37.15,0.57,0.0,1225,555,54.7,0,0,0,19,1,93,3.24
101763,2026-08-18,DeepSeek-R1-0528,signal,0.54,0.0,0.4,0.04,0.09,19,17,10.5,0,0,0,0,0,0,0.0
101768,2026-08-18,DeepSeek-V4-Pro,conc_sweep_done,50.57,43.18,6.94,0.44,0.02,1310,552,57.9,6,2,2,12,0,42,29.52
101772,2026-08-18,Qwen3-0.6B,global_converged,54.89,22.22,5.82,2.51,0.07,269,269,0.0,12,9,0,8,0,26,0.0
101773,2026-08-18,gemma-4-26B-A4B-it,conc_sweep_done,54.54,40.51,11.97,2.05,0.02,1230,605,50.8,17,5,1,19,3,62,0.0
101775,2026-08-18,DeepSeek-V4-Pro,time_exhausted,122.84,4.64,117.98,0.23,0.0,1541,1165,24.4,0,0,0,1,0,1,4.64
101776,2026-08-18,GLM-5.2-MXFP4,time_exhausted,125.85,15.74,109.74,0.35,0.02,1535,1125,26.7,0,0,0,2,0,8,15.74
101791,2026-08-18,Mixtral-8x7B-Instruct-v0.1,global_converged,54.22,37.8,13.81,2.59,0.02,438,438,0.0,12,7,3,10,0,35,0.0
101792,2026-08-18,Qwen3.8-2.4T-A95B-Quark-MXFP4,conc_sweep_done,54.12,44.81,9.12,0.19,0.0,592,592,0.0,0,0,0,19,2,71,0.0
