name,param: M,param: N,param: K,param: bias,param: stride_A,param: stride_B,param: dtype_A_B,param: B,param: transpose,num_kernels,GFLOPS_first,Data Moved (MB)_first,FLOPS/Byte_first,TB/s_mean,TB/s_median,TB/s_std,TB/s_min,TB/s_max,TFLOPS/s_mean,TFLOPS/s_median,TFLOPS/s_std,TFLOPS/s_min,TFLOPS/s_max,process_name_first,process_label_first,thread_name_first,Compute Spec,kernel_details__summarize_kernel_stats,trunc_kernel_details,Input Dims_first,Input type_first,Input Strides_first,Concrete Inputs_first,Kernel Time (µs)_mean,Kernel Time (µs)_median,Kernel Time (µs)_std,Kernel Time (µs)_min,Kernel Time (µs)_max,Kernel Time (µs)_sum,name_count,UID_first
aten::mm,100096,2880,32768,False,"(1, 100096)","(2880, 1)","('c10::BFloat16', 'c10::BFloat16')",1,"(False, True)",1,18892.48739328,6985.84375,2579.1129382188087,0.5427134126026787,0.5427843603556097,0.004786930877038754,0.536101524642791,0.5516551221977973,1399.719184188451,1399.9021664559732,12.346035359329772,1382.6663784050515,1422.780863095017,python,CPU,thread 166796 (pt_autograd_0),matrix_bf16,"[{'name': 'Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LBSPPA4096_LBSPPB4096_LBSPPM0_LPA0_LPB0_LPM0_LRVW8_LWPMn1_MIAV0_MIWT8_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW8_SK3_SKXCCM0_TLDS0_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA8_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1', 'stream': 0, 'count': 8, 'total_duration_us': np.float64(107986.048), 'mean_duration_us': np.float64(13498.256), 'median_duration_us': np.float64(13495.585500000001), 'std_dev_duration_us': np.float64(110.91012298929277), 'min_duration_us': np.float64(13278.564), 'max_duration_us': np.float64(13663.808)}]","[{'name': 'Cijk_Ailk_Bjlk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x1...', 'stream': 0, 'mean_duration_us': np.float64(13498.26)}]","[[100096, 32768], [32768, 2880]]","['c10::BFloat16', 'c10::BFloat16']","[[1, 100096], [2880, 1]]","['', '']",13498.256225585938,13495.5859375,118.56772431080651,13278.564453125,13663.8076171875,107986.0498046875,8,138051
aten::mm,32768,2880,100096,False,"(100096, 1)","(2880, 1)","('c10::BFloat16', 'c10::BFloat16')",1,"(False, False)",1,18892.48739328,6985.84375,2579.1129382188087,0.5711716751079291,0.5720157622248632,0.007710476732193289,0.5595179808865606,0.5830597546516959,1473.1162572149694,1475.293253219238,19.886190299834794,1443.0600636705922,1503.7769569768732,python,CPU,thread 166796 (pt_autograd_0),matrix_bf16,"[{'name': 'Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LBSPPA4096_LBSPPB1024_LBSPPM0_LPA0_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT8_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW8_SK3_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA8_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1', 'stream': 0, 'count': 8, 'total_duration_us': np.float64(102615.15599999999), 'mean_duration_us': np.float64(12826.894499999999), 'median_duration_us': np.float64(12805.939), 'std_dev_duration_us': np.float64(162.32680256815252), 'min_duration_us': np.float64(12563.357), 'max_duration_us': np.float64(13091.962)}]","[{'name': 'Cijk_Ailk_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x1...', 'stream': 0, 'mean_duration_us': np.float64(12826.89)}]","[[32768, 100096], [100096, 2880]]","['c10::BFloat16', 'c10::BFloat16']","[[100096, 1], [2880, 1]]","['', '']",12826.894409179688,12805.93896484375,173.53461447281518,12563.357421875,13091.9619140625,102615.1552734375,8,138043
aten::mm,32768,100096,2880,False,"(2880, 1)","(1, 2880)","('c10::BFloat16', 'c10::BFloat16')",1,"(True, False)",1,18892.48739328,6985.84375,2579.1129382188087,0.5756297420461028,0.575451683084337,0.004339611920816216,0.5685615840352056,0.5815876661350108,1484.6141153346591,1484.154881162603,11.192349251825746,1466.384537559379,1499.980274437287,python,CPU,thread 166178 (python),matrix_bf16,"[{'name': 'Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x16x1_CMS_SN_LDSB0_AFC1_AFEM1_AFEM1_ASEM1_CLR1_CADS0_DTLA1_DTLB1_DTVA0_DTVB0_EPS0_FDSI0_GRPM1_GRVWA8_GRVWB8_GSU0_GSUAMB_GLS0_ISA950_IU1_K1_LBSPPA1024_LBSPPB1024_LBSPPM0_LPA16_LPB16_LPM0_LRVW8_LWPMn1_MIAV0_MIWT8_8_MO40_NTn1_NTA0_NTB0_NTC0_NTD4_NTM0_NEPBS0_NLCA1_NLCB1_ONLL1_PGR2_PLR1_PKA1_SIA3_SS1_SPO0_SRVW0_SSO0_SVW8_SK3_SKXCCM0_TLDS1_ULSGRO0_USL1_UIOFGRO0_USFGRO0_VSn1_VWA8_VWB8_WSGRA0_WSGRB0_WS64_WG32_8_1', 'stream': 0, 'count': 8, 'total_duration_us': np.float64(101809.23), 'mean_duration_us': np.float64(12726.15375), 'median_duration_us': np.float64(12729.499), 'std_dev_duration_us': np.float64(89.78771710644784), 'min_duration_us': np.float64(12595.157), 'max_duration_us': np.float64(12883.72)}]","[{'name': 'Cijk_Alik_Bljk_BBS_BH_Bias_HA_S_SAV_UserArgs_MT256x256x64_MI16x1...', 'stream': 0, 'mean_duration_us': np.float64(12726.15)}]","[[32768, 2880], [2880, 100096]]","['c10::BFloat16', 'c10::BFloat16']","[[2880, 1], [1, 2880]]","['', '']",12726.153686523438,12729.4990234375,95.98702918274964,12595.1572265625,12883.7197265625,101809.2294921875,8,17055
